a	?:en
antifreeze	?:antigel
antilles	?:Antilles
antillian	?:Antillais
antimony	?:antimoine
antioch	?:Antioche
antipode	?:antipode
antique	?:antique
antiseptic	?:antiseptique
antisocial	?:antisocial
antithesis	?:antithèse
antony	?:Antoine
antwerp	?:Anvers
anus	?:anus
anvil	?:enclume
anxiety	?:anxiété
anxious	?:inquiet
any	?:quelques
anybody	?:un
anything	?:quelque chose
anyway	?:de façon ou d'autre
anywhere	?:quelque part
aorta	?:aorta
apache	?:apache
apart	?:particulier
apartheid	?:apartheid
apartment	?:appartement
apathetic	?:apathique
apathy	?:abattement
ape	?:singe
apennines	?:Apennins
aperture	?:ouverture
aphasia	?:aphasie
aphorism	?:aphorisme
aphrodite	?:Aphrodite
apiarist	?:apiculteur
apiary	?:rucher
aplomb	?:aplomb
apocalypse	?:Apocalypse
apocalyptic	?:apocalyptique
apocryphal	?:apocryphe
apollo	?:Apollon
apology	?:apologie
apostate	?:apostat
apostle	?:apôtre
apostleship	?:apostolat
apostolate	?:apostolat
apostolic	?:apostolique
apostrophe	?:apostrophe
apotheosis	?:apothéose
appal	?:consterner
apparatus	?:appareil
apparently	?:évidemment
appeal	?:faire appel
appear	?:avoir l'air de
appearance	?:air
appease	?:rassurer
appellation	?:nom
appendicitis	?:appendicite
appendix	?:appendice
appetite	?:appétit
applaud	?:applaudir
apple	?:pomme
apply	?:appliquer
appointment	?:rencontre
appraise	?:apprécier
appreciate	?:aimer
apprehension	?:arrestation
approach	?:abord
approachable	?:abordable
appropriate	?:raisonnable
appropriately	?:proprement
approval	?:approbation
approve	?:donner son accord
approximately	?:environ
apricot	?:abricot
april	?:avril
apron	?:tablier
aptitude	?:don
aquarium	?:aquarium
aquarius	?:Verseau
aquatic	?:d'eau
aqueduct	?:aqueduc
aquitaine	?:Aquitaine
aquittal	?:acquittement
arab	?:Arabe
arabesque	?:arabesque
arabia	?:Arabie
arabian	?:arabe
arabic	?:arabe
arbiter	?:arbitre
arbitrary	?:arbitraire
arbitrator	?:arbitre
arbor	?:tonnelle
arbutus	?:arbousier
arc	?:arc
arcadia	?:Arcadie
archaeological	?:archéologique
archaeologist	?:archéologue
archaeology	?:archéologie
archaism	?:archaïsme
archangel	?:archange
archbishop	?:archevêque
archduchy	?:archiduché
archduke	?:archiduc
archimedes	?:Archimède
archipelago	?:archipel
architect	?:architecte
architectonic	?:architectural
architectural	?:architectural
architecture	?:architecture
archivist	?:archiviste
arctic	?:arctique
ardennes	?:Ardennes
ardent	?:ardant
are	?:are
area	?:aire
arena	?:piste
argentina	?:Argentine
argentine	?:Argentin
argentinean	?:argentin
argon	?:argon
argue	?:se disputer
argument	?:argument
argus	?:Argus
aria	?:air de musique
ariadne	?:Ariane
arise	?:naître
aristocracy	?:aristocratie
aristocrat	?:aristocrate
