'aeneid'	?:'Aeneis'
abides	?:bleibt
abiding	?:dauernd
abidingly	?:treu
abidjan	?:Abidjan
abietate	?:Abietat
abietin	?:Abietin
abilities	?:Fähigkeiten
ability	?:Möglichkeit
abiocen	?:Abiozön
abiocoen	?:Abiozön
abiogenesis	?:Abiogenese
abiogenetic	?:abiogenetisch
abiological	?:nichtbiologisch
abioseston	?:Abioseston
abiosis	?:Lebensunfähigkeit
abiotic	?:abiotrophisch
abiotical	?:unbelebt
abiotrophic	?:abiotrophisch
abiotrophy	?:Lebensunfähigkeit
abirritant	?:reizlindernd
abirritation	?:Reizlinderung
abject	?:elend
abjection	?:Verwerflichkeit
abjectly	?:erbärmlich
abjectness	?:Verworfenheit
abjunction	?:Abjunktion
abjuration	?:Abschwören
abjured	?:widerrufen
abjures	?:schwört ab
abjuring	?:abschwörend
abkhaz	?:Abchasisch
abkhazia	?:Abchasien
ablactation	?:Abstillen
ablate	?:entfernen
ablated	?:entfernt
ablating	?:ablativ
ablation	?:Abtragen
ablative	?:Ablativ
ablator	?:Ablationswerkstoff
ablaut	?:Ablaut
ablaze	?:lodernd
able	?:geschickt
able-bodied	?:kräftig
ableism	?:Behindertenfeindlichkeit
abler	?:fähiger
ablest	?:am fähigsten
ablism	?:Behindertenfeindlichkeit
abloom	?:in Blüte
ablution	?:Waschung
ablutions	?:sanitäre Einrichtungen
ably	?:geschickt
abnegate	?:leugnen
abnegated	?:abgeleugnet
abnegating	?:ableugnend
abnegation	?:Verleugnung
abnegator	?:Versager
abnegators	?:Versager
abnormal	?:ungewöhnlich
abnormalism	?:Naturwidrigkeit
abnormalisms	?:Naturwidrigkeiten
abnormalities	?:Abweichungen
abnormality	?:Abweichung
abnormally	?:abnorm
abnormity	?:Anomalie
aboard	?:an Bord
abode	?:erwartet
aboil	?:kochend
abolishable	?:abschaffbar
abolished	?:beseitigt
abolishing	?:abschaffend
abolishment	?:Abschaffung
abolition	?:Abschaffung
abolitionism	?:Abolitionismus
abolitionist	?:Abolitionist
abolitionists	?:Abolitionisten
abomasus	?:Labmagen
abominable	?:schrecklich
abominably	?:ekelhaft
abominate	?:verabscheuen
abominated	?:verabscheut
abominates	?:verabscheut
abominating	?:verabscheuend
abomination	?:starke Abneigung
aboriginal	?:einheimisch
aboriginally	?:eingeboren
aborigines	?:australische Ureinwohner
abort	?:scheitern
aborted	?:gescheitert
abortifacient	?:Abtreibungsmittel
abortifacients	?:Abtreibungsmittel
aborting	?:fehlgebärend
abortion	?:Abbruch
abortional	?:abtreibend
abortionist	?:Abtreiber
abortions	?:Abtreibungen
abortive	?:gescheitert
abortively	?:vorzeitig
abortiveness	?:Fehlgebären
abound	?:voll sein
abounded	?:reichlich vorhanden gewesen
abounding	?:reichlich vorhanden
abounds	?:strotzt
about	?:um…
about-face	?:180°-Wende
about-turn	?:Kehrt!
above	?:über
above-average	?:überdurchschnittlich
above-mentioned	?:oben genannt
above-named	?:oben genannt
aboveboard	?:ehrlich
aboveground	?:oberirdisch
abra	?:Gangspalte
abracadabra	?:Abrakadabra
abradable	?:wenig abriebfest
abradant	?:Schleifmittel
abraded	?:schliff ab
abrades	?:reibt ab
abrading	?:abreibend
abrased	?:abgeschürft
abrasing	?:abschürfend
abrasion	?:Abnutzung
abrasion-proof	?:abriebfest
abrasion-resistant	?:abriebfest
abrasive	?:scharf
abrasively	?:grob
abrasiveness	?:Härte
abrasor	?:Kürette
abrasors	?:Küretten
abreact	?:abreagieren
abreacted	?:reagierte ab
abreacting	?:abreagierend
abreaction	?:Abreagieren
abreacts	?:reagiert ab
abreast	?:Seite an Seite
abreption	?:Abreption
abridge	?:einschränken
abridged	?:eingeschränkt
abridgement	?:Einschränkung
abridgements	?:Kürzungen
abridges	?:verkürzt
abridging	?:einschränkend
abridgment	?:Kürzung
abridgments	?:Kürzungen
abroad	?:im Ausland
abrogate	?:kündigen
abrogated	?:aufgehoben
abrogates	?:kündigt
abrogating	?:aufhebend
abrogation	?:Kündigung
abrogations	?:Aufhebungen
abrosia	?:Nahrungskarenz
abrupt	?:plötzlich
abruption	?:Abbrechung
abruptly	?:plötzlich
abruptness	?:Rauheit
abruzzi	?:Abruzzen
abs	?:Bauchmuskeln
abscess	?:Abszess
abscesses	?:Abszesse
abschiedlichkeit	?:Abschiedlichkeit
abscise	?:abfallen
abscised	?:abgeworfen
abscising	?:abfallend
absciss	?:abfallen
abscissa	?:Abszisse
abscissae	?:Abszissen
abscissas	?:Abszissen
abscissed	?:abgeworfen
abscissing	?:abfallend
abscission	?:Trennung
abscond	?:flüchten
absconded	?:sich abgesetzt
abscondence	?:Flucht
absconder	?:Flüchtiger
absconders	?:Flüchtigen
absconding	?:flüchtend
abseil	?:Abseilpartie
abseiler	?:Abseiler
abseilers	?:Abseiler
abseiling	?:Abseilen
absence	?:Fehlen
absences	?:Abwesenheiten
absent	?:abwesend
absent-minded	?:zerstreut
absentee	?:Abwesende
absenteeism	?:Schwänzen
absentees	?:Abwesenden
absentminded	?:zerstreut
absentmindedly	?:zerstreut
absentmindedness	?:Geistesabwesenheit
absinth	?:Absinth
absinthe	?:Wermut
absolute	?:völlig
absolutely	?:nicht und nicht
absoluteness	?:Absolutheit
absolution	?:Absolution
absolutisation	?:Verabsolutierung
absolutised	?:verabsolutiert
absolutising	?:verabsolutierend
absolutism	?:Absolutismus
absolutist	?:Absolutist
absolutistic	?:absolutistisch
absolutization	?:Verabsolutierung
absolutized	?:verabsolutiert
absolutizing	?:verabsolutierend
absolvable	?:der Verzeihung würdig
absolve	?:entbinden
absolved	?:freigesprochen
absolves	?:entbindet
absolving	?:entbindend
absorb	?:aufnehmen
absorbabilities	?:Aufsaugfähigkeiten
absorbability	?:Absorptionsfähigkeit
absorbable	?:absorbierbar
absorbance	?:Absorbanz
absorbed	?:band
absorbency	?:Aufnahmefähigkeit
absorbent	?:Absorptionsmittel
absorbents	?:Absorptionsmittel
absorber	?:Absorber
absorbers	?:Absorber
absorbing	?:interessant
absorbingly	?:aufsaugend
absorbs	?:bindet
absorptance	?:Absorptionsvermögen
absorptiometric	?:absorptiometrisch
absorptiometry	?:Absorptionsmesstechnik
absorption	?:Aufnahme
absorptionmeter	?:Absorptionsmessgerät
absorptive	?:aufnahmefähig
absorptivity	?:Aufnahmefähigkeit
absquatulate	?:sich davonmachen
abstain	?:sich der Stimme enthalten
abstained	?:sich enthalten
abstainer	?:Abstinenzler
abstainers	?:Abstinenzler
abstaining	?:sich enthaltend
abstains	?:enthält sich
abstemious	?:einfach
abstemiously	?:enthaltsam
abstemiousness	?:Enthaltsamkeit
abstention	?:Enthaltung
abstentious	?:enthaltsam
abstinence	?:Abstinenz
abstinent	?:abstinent
abstinently	?:enthaltsam
abstract	?:Zusammenfassung
abstracted	?:entnommen
abstractedly	?:abstrakt
abstractedness	?:Abstraktheit
abstracting	?:abstrahierend
abstraction	?:Entnahme
abstractionism	?:Abstraktionismus
abstractionist	?:Begriffsmensch
abstractions	?:abstrakte Ideen
abstractive	?:abstrahierungsfähig
abstractly	?:abstrakt
abstractness	?:Abstraktheit
abstracts	?:Auszüge
abstractum	?:Abstraktum
abstruse	?:schwer verständlich
abstrusely	?:verworren
abstruseness	?:Verworrenheit
abstruser	?:schwerer verständlich
abstrusest	?:am verworrensten
abstrusity	?:Abstrusität
absurd	?:absurd
absurdism	?:Unsinn
absurdistan	?:Absurdistan
absurdities	?:Absurditäten
absurdity	?:Absurdität
absurdly	?:sinnwidrig
absurdness	?:Sinnwidrigkeit
abuja	?:Abuja
abundance	?:Reichtum
abundant	?:stark verbreitet
abundantly	?:reichlich
abuse	?:Missbrauch
abused	?:beleidigt
abuser	?:Gefährder
abusers	?:Gefährder
abuses	?:missbraucht
abusing	?:beleidigend
abusive	?:ausfallend
abusively	?:ausfallend
abusiveness	?:Missbrauch
abut	?:anstoßen
abutment	?:Kämpfer
abutments	?:Widerlager
abuts	?:grenzt
abutted	?:angestoßen
abutter	?:Anwohner
abutters	?:Anwohner
abutting	?:angrenzend
abysm	?:Abgrund
abysmal	?:abgrundtief
abysmally	?:abgrundtief
abyss	?:Abgrund
abyssal	?:tief
abyssinia	?:Abessinien
abyssinian	?:abessinisch
abyssobenthic	?:im abyssalen Meeresbereich lebend
abyssolith	?:Batholith
abyssopelagic	?:im abyssalen Meeresbereich schwimmend
academe	?:Akademie
academese	?:akademischer Jargon
academia	?:die Wissenschaft
academic	?:Er tat sich mit dem Lernen schwer.
academical	?:akademisch
academically	?:akademisch
academician	?:Mitglied einer Akademie
academicism	?:Akademismus
academics	?:Universitätsprofessoren
academies	?:Hochschulen
academy	?:Hochschule
acajou	?:Cashewnuss
acajous	?:Cashewnüsse
acalculia	?:Rechenschwäche
acampsia	?:Gelenksteifheit
acanthaceous	?:stechend
acanthi	?:Laubverzierungen
acanthite	?:Argentit
acanthoid	?:stachelförmig
acanthokeratodermia	?:Hornhautverdickung an Händen und Füßen
acanthopterygian	?:Stachelflosser
acanthopterygians	?:Stachelflosser
acanthus	?:Laubverzierung
acanthus-like	?:akanthusartig
acapnia	?:Kohlensäuremangel im Blut
acaricide	?:Akarizid
acarodermatitis	?:Hautentzündung durch Milben
acarophobia	?:Furcht vor Insekten oder -stichen
acarpellous	?:ohne Fruchtblätter
acatalectic	?:akatalektisch
acatalepsy	?:Akatalepsie
acathisia	?:Sitzangst
accede	?:einwilligen
acceded	?:eingegangen
accedence	?:Beitritt
acceding	?:eingehend
accelerando	?:allmähliche Beschleunigung
accelerant	?:Brandbeschleuniger
accelerants	?:Brandbeschleuniger
accelerate	?:Fahrt aufnehmen
accelerated	?:nahm zu
accelerates	?:nimmt zu
accelerating	?:zunehmend
acceleration	?:Beschleunigung
accelerative	?:beschleunigend
accelerator	?:Gas
accelerators	?:Beschleuniger
acceleratory	?:beschleunigend
accelerometer	?:Beschleunigungsaufnehmer
accelerometers	?:Beschleunigungsmesser
accent	?:betonen
accented	?:betont
accenting	?:akzentuierend
accentless	?:akzentfrei
accentors	?:Braunellen
accents	?:betont
accentual	?:akzentuierend
accentuate	?:betonen
accentuated	?:betont
accentuates	?:betont
accentuating	?:vertiefend
accentuation	?:Betonung
accentuations	?:Betonungen
accept	?:akzeptieren
acceptability	?:Akzeptanz
acceptable	?:ganz gut
acceptableness	?:Grad der Akzeptanz
acceptably	?:angemessen
acceptance	?:Anerkennung
acceptation	?:Sinn
accepted	?:nahm an
accepting	?:anerkennend
acceptor	?:Empfänger
acceptors	?:Empfänger
accepts	?:nimmt an
access	?:Zugang
access-authorized	?:zugriffsberechtigt
accessed	?:ich/er/sie/es griff zu
accesses	?:Attacken
accessibility	?:Zugang
accessible	?:zugänglich
accessibleness	?:Eingängigkeit
accessiblity	?:leichter Zugang
accessibly	?:zugänglich
accessing	?:zugreifend
accession	?:erwerben
accessioned	?:erworben
accessioning	?:akzessionierend
accessions	?:Neuzugänge
accessor	?:Zugriffsberechtigter
accessories	?:Zubehör
accessorily	?:zusätzlich
accessoriness	?:Vorschubleistung
accessors	?:Zugriffsberechtigten
accessory	?:zusätzlich
acciaccatura	?:Zusammenschlag
accidence	?:Formenlehre
accident	?:Unfall
accident-free	?:unfallfrei
accident-prone	?:unfallanfällig
accidental	?:zufällig
accidentalism	?:Zufallslehre
accidentally	?:zufällig
accidentals	?:Vorzeichen
accidents	?:Unfälle
acclaim	?:Zustimmung
acclaimed	?:beliebt
acclaiming	?:zujubelnd
acclaims	?:jubelt zu
acclamation	?:Beifall
acclimation	?:Adaption
acclimatisation	?:Eingewöhnung
acclimatization	?:Akklimatisierung
acclivities	?:Steigungen
acclivity	?:Steigung
accolade	?:Auszeichnung
accolades	?:Ehrenbezeugungen
accommodate	?:Platz/Raum für … bieten
accommodated	?:brachte unter
accommodates	?:bringt unter
accommodating	?:gefällig
accommodatingly	?:gefällig
accommodation	?:Anpassung
accommodation-seeking	?:wohnungssuchend
accommodations	?:Unterkunft
accommodative	?:akkommodierend
accommodatively	?:versorgend
accommodativeness	?:Bequemlichkeit
accompanied	?:begleitet
accompanies	?:begleitet
