'aeneid'	?:'Aeneis'
plainest	?:am einfachsten
plainly	?:ganz offen
plainness	?:Einfachheit
plains	?:Ebenen
plainspoken	?:geradeheraus gesagt
plaint	?:Anklage
plaintiff	?:Kläger
plaintiffs	?:Kläger
plaintive	?:Klage…
plaintively	?:klagend
plaintiveness	?:Wehmut
plaints	?:Anklagen
plait	?:Flechten
plaited	?:abgelegt
plaiter	?:Ableger
plaiters	?:Ableger
plaiting	?:Ablegen
plaits	?:Flechten
plan	?:Projekt
plan-parallel	?:in parallelen Ebenen angeordnet
planar	?:eben
planarian	?:Planarie
planarity	?:Ebenheit
planation	?:Einebnung
planchet	?:Münzplättchen
planchette	?:Planchette
plane	?:eben
plane-polarized	?:polarisiert eben
plane-table	?:Messtisch
planed	?:flach gemacht
planemo	?:Planemo
planer	?:Abrichten
planers	?:Dickenhobelmaschinen
planes	?:Maschinen
planet	?:Planet
planetarium	?:Planetarium
planetariums	?:Planetarien
planetary	?:Planeten…
planetoid	?:kleiner Planet
planetoids	?:kleine Planeten
planetology	?:Planetologie
planets	?:Planeten
plangent	?:getragen
planimeter	?:Flächenmesser
planimeters	?:Flächenmesser
planimetric	?:planimetrische
planimetrics	?:ebene Geometrie
planimetry	?:ebene Geometrie
planing	?:Gleiten
planished	?:planiert
planisher	?:Planierer
planishers	?:Planierer
planishing	?:prägerichtend
plank	?:Schwerpunkt
plank-bed	?:Pritsche
planked	?:verzimmerte
planking	?:Planken
planks	?:Bohlen
planktivore	?:planktonfressend
planktivorous	?:planktonfressend
plankton	?:Plankton
planless	?:planlos
planned	?:geplant
planned-economy	?:planwirtschaftlich
planner	?:Planer
planners	?:Planer
planning	?:Planung
planoporphyric	?:lagenartig porphyrisch
plans	?:Projekte
plansifter	?:Plansichter
plansifters	?:Plansichter
plant	?:gründen
plant-eating	?:pflanzenfressend
planta	?:Fußsohle
plantain	?:Kochbanane
plantains	?:Kochbananen
plantalgia	?:Fußsohlenschmerzen
plantar	?:fußsohlenwärts
plantation	?:Plantage
plantations	?:Plantagen
planted	?:gegründet
planter	?:Pflanzer
planters	?:Pflanzer
planthoppers	?:Glasflügelzikaden
plantigrade	?:Sohlengänger
planting	?:Pflanzen
plantlet	?:Pflänzchen
plantlets	?:Pflänzchen
plants	?:Werke
plantsman	?:Pflanzenkenner
plantsmen	?:Pflanzenkenner
planum	?:Planum
plaque	?:Schild
plaques	?:Tafeln
plash	?:platschen
plashed	?:geplatscht
plashing	?:platschend
plasma	?:Plasma
plasmagene	?:Plasmid
plasmapheresis	?:Blutplasmaseparation
plasmatherapy	?:Blutplasmabehandlung
plasmatic	?:plasmatisch
plasmatorrhexis	?:Zellzerreißung
plasmic	?:plasmatisch
plasmid	?:Plasmid
plasminogen	?:Plasminogen
plasmoid	?:Plasmoid
plasmolysis	?:Plasmolyse
plasmon	?:Plasmon
plasmonic	?:plasmonisch
plasmons	?:Plasmonen
plasmorrhexis	?:Zellzerreißung
plasmoschisis	?:Blutzellenzersetzung
plasmotherapy	?:Blutplasmabehandlung
plaster	?:Pflaster
plasterboard	?:Rigips
plasterboarder	?:Trockenausbauer
plasterboarders	?:Trockenausbauer
plasterboarding	?:Trockenbau
plastered	?:blau
plasterer	?:Stuckateur
plasterers	?:Gipser
plastering	?:Einputzen
plasters	?:verputzt
plasterwork	?:Stuckarbeiten
plastic	?:Plastik
plastic-coated	?:kunststoffbeschichtet
plastically	?:plastisch
plasticine	?:Knetmasse
plasticise	?:geschmeidig machen
plasticised	?:geschmeidig gemacht
plasticising	?:geschmeidig machend
plasticity	?:Plastizität
plasticize	?:geschmeidig machen
plasticized	?:geschmeidig gemacht
plasticizer	?:Weichmacher
plasticizers	?:Weichmacher
plasticizing	?:geschmeidig machend
plastics	?:Plastik
plastids	?:Plastiden
plastination	?:Plastination
plastosoluble	?:plastelöslich
plastron	?:Plastron
plat	?:Stück Land
platband	?:Kämpfer
plate	?:Platte
plate-shaped	?:plattig
plate-supply	?:Anodenspannung
plateau	?:Stabilisierung
plateaued	?:sich eingependelt
plateauing	?:Stabilisierung
plateaus	?:Plateaus
plated	?:beschichtet
plated-through	?:durchplattiert
plateful	?:Tellervoll
platelayer	?:Bahnunterhaltungsarbeiter
platelayers	?:Bahnunterhaltungsarbeiter
platelet	?:Blutplättchen
platelike	?:tafelförmig
platen	?:Drucktiegel
platen-roller	?:Walzen
platens	?:Drucktiegel
plates	?:Platten
platform	?:Bühne
platforms	?:Plattformen
plating	?:Auflage
platings	?:Auflagen
platinum	?:Platin
platitude	?:Phrase
platitudes	?:Phrasen
platitudinous	?:platt
platitudinously	?:platt
platonic	?:platonisch
platonically	?:platonisch
platonism	?:Platonismus
platonist	?:Platoniker
platonists	?:Platoniker
platoon	?:Zug
platoons	?:Züge
platte	?:Platte
plattenbau	?:Plattenbau
platter	?:flache Schale
platters	?:flache Schalen
plattnerite	?:Plattnerit
platy	?:flach
platykurtic	?:flach gewölbt
platykurtosis	?:flache Wölbung
platypodia	?:Plattfüßigkeit
platypus	?:Schnabeltier
platypuses	?:Schnabeltiere
plaudit	?:lauter Beifall
plaudits	?:Anerkennung
plauenit	?:Dresdner Syenit
plausibility	?:Wahrscheinlichkeit
plausibilization	?:Schlüssigkeitsprüfung
plausibilizations	?:Schlüssigkeitsprüfungen
plausible	?:plausibel
plausibleness	?:Glaubhaftigkeit
plausibly	?:glaubhaft
play	?:Spiel
play-act	?:spielen
play-acting	?:Schauspiel
play-by-play	?:Live-Kommentar
play-fight	?:spielerisch kämpfen
play-it-safe	?:risikolos
play-off	?:Stechen
play-pen	?:Laufstall
playability	?:audio, video
playable	?:bespielbar
playback	?:Wiedergabe
playbill	?:Theaterzettel
playbook	?:Spieltaktikbuch
playbooks	?:Spieltaktikbücher
playboy	?:Playboy
playboys	?:Playboys
played	?:gespielt
player	?:Spieler
players	?:Spieler
playfellow	?:Spielgefährte
playfellows	?:Spielkameraden
playful	?:spielerisch
playfully	?:spielerisch
playfulness	?:Verspieltheit
playgoer	?:Theaterbesucher
playground	?:Spielplatz
playgrounds	?:Spielplätze
playgroup	?:Spielgruppe
playhouse	?:Schauspielhaus
playhouses	?:Schauspielhäuser
playing	?:Spielen
playlet	?:Dramolett
playlets	?:Dramolette
playlist	?:Titelliste
playlists	?:Titellisten
playmaker	?:Spielmacher
playmakers	?:Spielmacher
playmate	?:Gespielin
playmates	?:Spielkameraden
playoff	?:Stechen
playoffs	?:Stechen
playpen	?:Laufstall
playpens	?:Laufställchen
playroom	?:Spielzimmer
playrooms	?:Spielzimmer
plays	?:Spiele
playschool	?:Spielgruppe
playsuit	?:Strampler
plaything	?:Spielzeug
playthings	?:Spielbälle
playtime	?:Freizeit
playworker	?:Erzieher in einer Kindertagesstätte
playwright	?:Dramatiker
playwrights	?:Dramatiker
plaza	?:Platz
plea	?:Bitte
plead	?:plädieren
pleaded	?:plädiert
pleader	?:Verteidiger
pleaders	?:Verteidiger
pleading	?:Bitten
pleadingly	?:flehend
pleads	?:plädiert
pleas	?:Einwände
pleasable	?:befriedigend
pleasance	?:Lustgarten
pleasances	?:Lustgärten
pleasant	?:nett
pleasant-natured	?:freundlich
pleasant-smelling	?:angenehm duftend
pleasant-sounding	?:melodisch
pleasantly	?:angenehm
pleasantness	?:Freundlichkeit
pleasantries	?:Komplimente
pleasantry	?:Scherz
please	?:bitte
pleased	?:recht gemacht
pleaser	?:jemand, der anderen alles recht machen will
pleases	?:macht recht
pleasing	?:angenehm
pleasingly	?:angenehm
pleasingness	?:Gefälligkeit
pleasurable	?:angenehm
pleasurably	?:vergnüglich
pleasure	?:Freude
pleasure-seeking	?:genusssüchtig
pleasures	?:Vergnügungen
pleasuring	?:Vergnügen bereitend
pleat	?:Falte
pleated	?:gefaltet
pleater	?:Plissiermaschine
pleaters	?:Plissiermaschinen
pleating	?:in Falten legend
pleats	?:Falten
pleb	?:Proletarier
plebeian	?:ungebildet
plebeians	?:Proletarier
plebiscitary	?:plebiszitär
plebiscite	?:Volksabstimmung
plebiscites	?:Volksentscheide
plebs	?:Proletarier
pleco	?:Saugwels
plectron	?:Plektrum
plectrum	?:Plektrum
pled	?:plädiert
pledge	?:Pfand
pledged	?:versprochen
pledgee	?:Pfandnehmer
pledgees	?:Pfandnehmer
pledger	?:Pfandgeber
pledgers	?:Pfandgeber
pledges	?:verpfändet
pledget	?:Tupfer
pledgets	?:Tupfer
pledging	?:Verpfändung
pledgor	?:Pfandgeber
pledgors	?:Pfandgeber
pleiades	?:Plejaden
pleiotropy	?:Pleiotropie
pleistocene	?:Pleistozän
plenarily	?:vollkommen
plenary	?:vollkommen
plenipotentiaries	?:Bevollmächtigten
plenipotentiary	?:Bevollmächtigter
plenitude	?:Fülle
plenteous	?:noch und noch
plenteously	?:voll
plenteousness	?:Überflüsse
plenties	?:Mengen
plentiful	?:noch und noch
plentifully	?:reichlich
plentifulness	?:Reichlichkeit
plenty	?:Menge
plenum	?:Plenum
plenums	?:Plena
pleochroic	?:pleochroitisch
pleochroism	?:Pleochroismus
pleomorphic	?:vielgestaltig
pleomorphism	?:Auftreten in unterschiedlichen Erscheinungsformen
pleomorphous	?:vielgestaltig
pleonasm	?:Pleonasmus
pleonaste	?:Pleonast
pleonastic	?:redundant
plesiomorphy	?:Plesiomorphie
plesiosauria	?:Plesiosaurier
plesiosaurias	?:Plesiosauriere
plessor	?:Perkussionshammer
plessors	?:Perkussionshämmer
plethora	?:Fülle
plethoric	?:vollblütig
pleura	?:Brustfell
pleurisy	?:Pleuritis
pleuritis	?:Pleuritis
pleurocentesis	?:Brusthöhlenpunktion
pleurodynia	?:Muskelkaterkrankheit
pleuropneumonia	?:Rippenfell- und Lungenentzündung
pleuston	?:Pleuston
plexiglas	?:Plexiglas
plexor	?:Perkussionshammer
plexors	?:Perkussionshämmer
plexus	?:Plexus
pliability	?:Biegsamkeit
pliable	?:geschmeidig
pliableness	?:Geschmeidigkeit
pliably	?:biegsam
pliancy	?:Geschmeidigkeit
pliant	?:biegsam
pliantly	?:biegsam
plicated	?:gefältelt
plication	?:Falte
plicotomy	?:Plikotomie
plied	?:bearbeitet
pliensbachian	?:Pliensbach
pliers	?:kleine Zange
plies	?:hantiert
plight	?:Eheversprechen
plimsolls	?:Leinensportschuhe
plink	?:auf ein (improvisertes) Ziel schießen
plinth	?:Sockel
plio-pleistocene	?:Plio-Pleistozän
pliocene	?:Pliozän
pliofilm	?:Frischhaltefolie
pliosauroids	?:Pliosaurier
pliosaurs	?:Pliosaurier
plod	?:einfacher Polizist
plodded	?:mit schweren Schritten gegangen
plodder	?:Arbeitstier
plodders	?:Arbeitstiere
plodding	?:mit schweren Schritten gehend
ploddingly	?:arbeitsam
plods	?:Bullen
plonk	?:fallen lassen
plonked	?:fallen lassen
plonker	?:Tor
plonkers	?:Tore
plonking	?:knallend
plop	?:fallen lassen
plopped	?:fallen lassen
plopping	?:knallend
plops	?:plumpst
plosive	?:Verschlusslaut
plosives	?:Verschlusslaute
plot	?:Karte
plotline	?:Handlungsstrang
plotlines	?:Handlungsstränge
plots	?:Karten
plotted	?:eingetragen
plotter	?:Verschwörer
plotters	?:Verschwörer
plotting	?:Auswertung
plough	?:Pflug
ploughback	?:Selbstfinanzierung
ploughed	?:gepflügt
ploughing	?:Pflügen
ploughing-back	?:Wiederveranlagung
ploughing-up	?:Umpflügen
ploughland	?:Ackerland
ploughman	?:Pflüger
ploughs	?:Pflüge
ploughwright	?:Pflugmacher
plout	?:Wolkenbruch
plouts	?:Huschen
plovdiv	?:Plowdiw
plover	?:Kiebitz
plow	?:Pflug
plowback	?:Selbstfinanzierung
plowed	?:gepflügt
plowing	?:Pflügen
plowing-back	?:Wiederveranlagung
plowing-up	?:Umpflügen
plowland	?:Ackerland
plowman	?:Pflüger
plows	?:Pflüge
plowwright	?:Pflugmacher
ploy	?:Trick
ploys	?:Täuschungsmanöver
pluck	?:Traute
plucked	?:geschnappt
pluckily	?:mutig
pluckiness	?:Unerschrockenheit
plucking	?:auszupfend
plucky	?:mutig
plug	?:anschließen
plug-flow	?:Pfropfenstrom
plug-in	?:Plug-in
plug-ugly	?:scheußlich
pluggable	?:einsteckbar
plugged	?:angeschlossen
plugged-in	?:immer voll informiert
plugging	?:anschließend
plughole	?:Abfluss
plugholes	?:Abflüsse
plugs	?:Stecker
plugwasher	?:Kegeldichtung
plugwashers	?:Kegeldichtungen
plum	?:Traum…
plumage	?:Gefieder
plumb	?:schief sein
plumbable	?:auslotbar
plumbagin	?:Plumbagin
plumbago	?:Graphit
plumbagos	?:Bleiwurzen
plumbed	?:erkundet
plumbed-in	?:eingebaut
plumbeous	?:bleiglasiert
plumber	?:Klempner
plumberies	?:Installateurbetriebe
plumbers	?:Klempner
plumbery	?:Installateurarbeit
plumbiferous	?:bleihaltig
plumbing	?:Leitungen
plumbism	?:Bleivergiftung
plumbline	?:Lot
plumbness	?:Lotrechtigkeit
plumbs	?:sondiert
plume	?:sich putzen
plumeau	?:Steppdecke
plumeaus	?:Steppdecken
plumed	?:federgeschmückt
plumes	?:Abgasfahnen
plummet	?:Lot
plummeted	?:drastisch gesunken
plummeting	?:drastisch sinkend
plummy	?:vornehm
plumose	?:federförmig
plumosite	?:Jamesonit
plump	?:offen
plumped	?:fallen lassen
plumping	?:plumpsend
plumply	?:prall
plumpness	?:Fülligkeit
plumps	?:plumpst
plums	?:Pflaumenbäume
plumwood	?:Australische Scheinulme
plumy	?:federgeschmückt
plunder	?:Plündern
plundered	?:ausgeraubt
plunderer	?:Plünderer
plunderers	?:Plünderer
plundering	?:Plündern
plunge	?:fallen
plunge-cut	?:einstechen
plunged	?:gefallen
plunger	?:Konrad
plungers	?:Stempel
plunging	?:fallend
plunked	?:fallen lassen
plunking	?:knallend
pluperfect	?:dritte Vergangenheit
plural	?:Mehrzahl
pluralisation	?:Pluralisierung
pluralism	?:Pluralismus
pluralistic	?:pluralistisch
pluralities	?:Mehrheiten
plurality	?:Mehrheit
pluralization	?:Pluralisierung
plurally	?:mehrfach
plurifocal	?:mehrherdig
plurigravida	?:mehrfach schwangere Frau
pluripara	?:Mehrgebärende
pluriparous	?:mehrgebärend
pluripotent	?:pluripotent
plus	?:sowie
pluses	?:Pluszeichen
plush	?:exklusiv
plushier	?:plüschartiger
plushiest	?:am plüschartigsten
plushly	?:vornehm
plushy	?:plüschartig
plusiinae	?:Goldeulen
plutarch	?:Plutarch
pluto	?:Pluto
plutocracy	?:Plutokratie
plutocrat	?:Plutokrat
plutocratic	?:plutokratisch
plutocrats	?:Plutokrate
plutoed	?:abgewertet
plutoing	?:abwertend
pluton	?:Pluton
plutonic	?:abyssisch
plutonism	?:Plutonismus
plutonite	?:Tiefengestein
plutonium	?:Plutonium
pluvial	?:regnerisch
pluviometer	?:Regenmesser
pluviometers	?:Regenmesser
pluvious	?:regnerisch
ply	?:Lage
plying	?:bearbeitend
plymouth	?:Plymouth
plywood	?:Sperrholz
pm	?:Sektion
pmbx	?:Hauszentrale mit Handvermittlung
pmma	?:Plexiglas
pnanama	?:Panama-Stadt
pneumathaemia	?:Luftembolie
pneumatic	?:pneumatisch
pneumatically	?:pneumatisch
pneumatics	?:Pneumatik
pneumatogeny	?:Beatmung
pneumatolytic	?:pneumatolytisch
pneumatophore	?:Pneumatophor
pneumatophores	?:Pneumatophoren
pneumatosis	?:Windsucht
pneumatothorax	?:Pneumothorax
pneumoconiosis	?:Staublunge
pneumoencephalography	?:Pneumoenzephalografie
pneumology	?:Pneumologie
pneumonia	?:Lungenentzündung
pneumonopexy	?:Lungenfixierung an der Brustwand
pneumopathy	?:Lungenerkrankung
pneumothorax	?:Pneumothorax
pneusis	?:Atmen
po	?:Po
po'ouli	?:Poo-Uli
po-faced	?:grimmig
poaceous	?:grasartig
poach	?:unerlaubt fangen
poached	?:unerlaubt gefangen
poacher	?:Wilderer
poachers	?:Wilderer
poaches	?:pochiert
poaching	?:Wilderei
pocahontas	?:Pocahontas
pochette	?:Etui-Tasche
pock	?:Pocke
pocked	?:pockennarbig
pocket	?:Tasche
pocket-size	?:Taschen…
pocketable	?:Taschen…
pocketbook	?:Handtasche
pocketbooks	?:Handtaschen
pocketed	?:kassiert
pocketing	?:Taschenfutter
pocketknife	?:Hegel
pocketknives	?:Hegel
pockets	?:steckt ein
pockmark	?:Pockennarbe
pockmarked	?:pockennarbig
pockmarks	?:Pockennarben
pocks	?:Pocken
poco	?:etwas
pod	?:Schule
podcast	?:Podcast
podcasting	?:Podcasting
podded	?:in einer Aufnahmehülle
podding	?:Aushülsen
podge	?:Pummel
podgorica	?:Podgorica
podgy	?:rundlich
podia	?:Podien
podiatrist	?:Fußspezialist
podiatrists	?:Fußspezialisten
podiatry	?:Fußorthopädie
podium	?:Podium
podiums	?:Podien
podocarps	?:Steinfruchteiben
podosome	?:Podosom
podraga	?:Fußgicht
pods	?:Gruppen
podsol	?:Podsol
podunk	?:Buxtehude
podzol	?:Podsol
poem	?:Gedicht
poems	?:Gedichte
poenology	?:Strafrechtswissenschaft
poesy	?:Poesie
poet	?:Dichter
poetaster	?:Dichterling
poetasters	?:Dichterlinge
poetess	?:Dichter
poetesses	?:Dichter
poetic	?:poetisch
poetical	?:poetisch
poetically	?:dichterisch
poeticule	?:Dichterling
poeticules	?:Dichterlinge
poetries	?:Dichtkünste
poetry	?:Poesie
poets	?:Dichter
pogo	?:Hüpfstab
pogonias	?:Pogonien
pogonochore	?:Haarflieger
pogos	?:Hüpfstäbe
pogrom	?:Pogrom
pogroms	?:Pogrome
pohorje	?:Bachergebirge
poignancies	?:Schärfen
poignancy	?:Intensität
poignant	?:scharf
poignantly	?:scharf
poikilitic	?:poikilitisch
poikiloblastic	?:poikiloblastisch
poikilotherm	?:wechselwarm
poinsettia	?:Weihnachtsstern
point	?:Platz
point-blank	?:offen
point-symmetric	?:punktsymmetrisch
point-to-point	?:Punkt-zu-Punkt…
pointed	?:deutlich
pointed-headed	?:spitzköpfig
pointedly	?:deutlich
pointedness	?:Spitzigkeit
pointer	?:Hinweis
pointers	?:Hinweise
pointilism	?:Pointillismus
pointing	?:Spitzen
pointless	?:sinnlos
pointlessly	?:sinnlos
pointlessness	?:Sinnlosigkeit
points	?:Stellen
pointsman	?:Bahnwärter
pointsmen	?:Bahnwärter
pointy	?:spitz
pointy-head	?:Eierkopp
pointy-headed	?:oberschlau
poise	?:Haltung
poised	?:gefasst
poises	?:schwebt
poising	?:schwebend
poison	?:Gift
poisonberry	?:Bittersüß
poisoned	?:vergiftet
poisoner	?:Giftmörder
poisoners	?:Giftmörder
poisonflower	?:Bittersüß
poisoning	?:Vergiftung
poisonous	?:vergiftet
poisonously	?:giftig
poisonousness	?:Giftigkeit
poisons	?:vergiftet
poitou-charentes	?:Poitou-Charentes
poke	?:vögeln
poked	?:gesteckt
poker	?:Poker
poker-faced	?:keine Miene verziehen
pokers	?:Schürhaken
pokerwork	?:Holzbrandmalerei
pokeweeds	?:Kermesbeeren
pokey	?:langsam
pokier	?:enger
pokiest	?:am engsten
pokily	?:schäbig
pokiness	?:Engigkeit
poking	?:fickend
poky	?:langsam
pokémon	?:Pokémon
pokémons	?:Pokémon
pol	?:Kraft- und Schmierstoffe
polack	?:Polacke
polacks	?:Polacken
poland	?:Polen
polar	?:äußerst
polargraphy	?:Polarographie
polarimeter	?:Polarimeter
polarimeters	?:Polarimeter
polaris	?:Polaris
polarisability	?:Polarisierbarkeit
polarisation	?:Polarisierung
polariscope	?:Polarisationsapparat
polariscopes	?:Polarisationsapparate
polarise	?:polen
polarised	?:polarisiert
polariser	?:Polarisator
polarisers	?:Polarisatoren
polarises	?:polarisiert
polarising	?:polarisierend
polarities	?:Polaritäten
polariton	?:Polariton
polaritons	?:Polaritonen
polarity	?:Polarität
polarizability	?:Polarisierbarkeit
polarizable	?:polarisierbar
polarization	?:Polarisierung
polarize	?:polen
polarized	?:polarisiert
polarizer	?:Polarisator
polarizers	?:Polarisatoren
polarizes	?:polarisiert
polarizing	?:unverwechselbar
polaroid	?:Polaroid
polaron	?:Polaron
polarons	?:Polaronen
polarscope	?:Polsuchfernrohr
polarscopes	?:Polsuchfernrohre
polder	?:water engineering
polders	?:Polder
pole	?:Pol
pole-changeable	?:polumschaltbar
pole-jumping	?:Stabhochsprung
pole-vault	?:stabhochspringen
poleax	?:Streitaxt
poleaxe	?:Streitaxt
poleaxed	?:schwer getroffen
poleaxes	?:Fleischerbeile
poleaxing	?:schwer treffend
poleboat	?:Kielboot
polecat	?:Iltis
polecats	?:Iltisse
poled	?:gestakt
polemic	?:Streit…
polemical	?:Streit…
polemically	?:polemisch
polemicise	?:polemisieren
polemicised	?:polemisiert
polemicises	?:polemisierte
polemicising	?:polemisierend
polemicist	?:Polemiker
polemicists	?:Polemiker
polemicize	?:polemisieren
polemicized	?:polemisiert
polemicizes	?:polemisierte
polemicizing	?:polemisierend
polemics	?:Polemik
polemist	?:Polemiker
polemists	?:Polemiker
polemize	?:polemisieren
polemized	?:polemisiert
polemizes	?:polemisierte
polemizing	?:polemisierend
poles	?:Pfosten
poleward	?:polwärts
polewards	?:polwärts
polhode	?:Gangpolbahn
polianite	?:Polianit
police	?:kontrollieren
policed	?:kontrolliert
policeman	?:Polizist
policemen	?:Schachtsperren
policewoman	?:Polizistin
policewomen	?:Polizistinnen
policies	?:Richtlinien
policing	?:Polizeiarbeit
policy	?:Politik
policy-holder	?:Versicherungsnehmer
policy-maker	?:politischer Entscheidungsträger
policy-making	?:politische Entscheidungsfindung
policyholder	?:Versicherungsnehmer
policyholders	?:Versicherungsnehmer
policymaker	?:Entscheidungsträger
policymaking	?:politische Entscheidungsfindung
poling	?:stakend
polio	?:Polio
poliomyelitis	?:Polio
polish	?:putzen
polished	?:geputzt
polisher	?:Schleifer
polishers	?:Schleifer
polishes	?:verfeinert
polishing	?:Polieren
politbureau	?:Politbüro
politburo	?:Politbüro
polite	?:höflich
politely	?:höflich
politeness	?:Höflichkeit
politer	?:höflicher
politest	?:am höflichsten
politic	?:diplomatisch
political	?:politisch
politically	?:politisch
politician	?:Politiker
politicians	?:Politiker
politicisation	?:Politisierung
politicise	?:politisieren
politicised	?:ins Politische gezogen
politicises	?:politisiert
politicising	?:politisierend
politicization	?:Politisierung
politicize	?:ins Politische ziehen
politicized	?:ins Politische gezogen
politicizes	?:politisiert
politicizing	?:politisierend
politick	?:sich politisch engagieren/betätigen
politicked	?:sich politisch engagiert/betätigt
politicking	?:politische Aktivitäten
politico-cultural	?:kulturpolitisch
politics	?:Politik
polity	?:politische Ordnung
polka	?:Polka
polka-dot	?:gepunktet
polkas	?:Polkas
poll	?:erhalten
poll-taker	?:Meinungsforscher
pollack	?:Köhler
pollacks	?:Köhler
pollakisuria	?:häufiger Harndrang
pollard	?:Eitel
pollarded	?:gekappt
pollarding	?:Schneiteln
pollards	?:Eitel
polled	?:gestutzt
pollen	?:Pollen
pollinate	?:bestäuben
pollinated	?:bestäubt
pollinates	?:bestäubt
pollinating	?:bestäubend
pollination	?:Bestäubung
pollinator	?:Bestäuber
pollinators	?:Bestäuber
polling	?:Abrufbetrieb
pollinia	?:Pollinien
pollinium	?:Pollinium
polliwog	?:Kaulquappe
polliwogs	?:Kaulquappen
pollock	?:Köhler
pollocks	?:Köhler
polls	?:Umfragen
pollster	?:Meinungsforscher
pollsters	?:Meinungsforscher
pollucite	?:Pollucit
pollutant	?:Schadstoff
pollutants	?:Schadstoffe
pollute	?:verschmutzen
polluted	?:belastet
polluter	?:Umweltsünder
polluters	?:Umweltsünder
pollutes	?:verschmutzt
polluting	?:verschmutzend
pollution	?:Belastung
pollutive	?:umweltbelastend
pollyannaish	?:fröhlich
pollywog	?:Kaulquappe
pollywogs	?:Kaulquappen
polo	?:Polo
polonaise	?:Polonaise
polonium	?:Polonium
polony	?:Fleischwurst
polos	?:Polohemden
poltergeist	?:Spuk
poltergeists	?:Poltergeister
polterghost	?:Spuk
poltroon	?:Jammerlappen
poltroonery	?:Memmenhaftigkeit
poltroons	?:Waschlappen
poly	?:Plexiglas
poly-embryonic	?:mehrembryonisch
poly-syllabic	?:vielsilbig
poly-v-belt	?:Keilrippenriemen
polyacetal	?:Polyoxymethylen
polyacid	?:mehrwertige Säure
polyacrylamide	?:Polyacrylamid
polyaemia	?:Vollblütigkeit
polyamide	?:Polyamid
polyamine	?:Polyamin
polyandrous	?:polyandrisch
polyandry	?:Vielmännerei
polyaniline	?:Polyanilin
polyanthrus	?:Gartenprimeln
polyarthritis	?:Polyarthritis
polyarticular	?:mehrgelenkig
polybasite	?:Polybasit
polybenzimidazole	?:polymer
polycarbonate	?:Polycarbonat
polycellular	?:mehrzellig
polycentric	?:mehrzentrisch
polycheirous	?:mehrhändig
polychoral	?:mehrchörig
polychorality	?:Mehrchörigkeit
polychromatic	?:bunt
polychrome	?:bunt
polychromic	?:bunt
polyclinic	?:Poliklinik
polyclinics	?:Polikliniken
polycnemum	?:Knorpelkräuter
polycrystalline	?:polykristallin
polyculture	?:Polykultur
polycygotic	?:mehreiig
polycystic	?:mehrzystisch
polycythaemia	?:Rotblütigkeit
polydactylism	?:Fingerüberzahl
polydactyly	?:Fingerüberzahl
polydimethylsiloxane	?:Polydimethylsiloxan
polydipsia	?:Polydipsie
polydymite	?:Polydymit
polyester	?:Polyester
polyethene	?:Polyethylen
polyethylene	?:Polyethylen
polyethylenimine	?:Polyethylenimin
polyflute	?:Kunststoffwellpappe
polyformaldehyde	?:Polyoxymethylen
polyfunctional	?:mehrfach verwendbar
polygalactia	?:Milchträufeln
polygamist	?:Polygamist
polygamists	?:Polygamisten
polygamous	?:polygam
polygamously	?:polygam
polygamy	?:Polygamie
polygenism	?:Polygenismus
polyglobulism	?:Rotblütigkeit
polyglobulla	?:Rotblütigkeit
polyglot	?:mehrsprachig
polygon	?:Polygon
polygonal	?:vieleckig
polygonally	?:vieleckig
polygons	?:Vielecke
polygraph	?:Lügendetektor
polygraphs	?:Lügendetektoren
polygynous	?:polygam
polygyny	?:Polygamie
polyhalite	?:Polyhalit
polyhedra	?:Polyeder
polyhedral	?:vielflächig
polyhedron	?:Polyeder
polyhedrons	?:Polyeder
polyhydrosis	?:übermäßiges Schwitzen
polyhydruria	?:Ausscheidung von abnorm verdünntem Urin
polyimide	?:Polyimid
polyisobutylene	?:Butylkautschuk
polyline	?:Hilfskontur
polylines	?:Hilfskonturen
polylobular	?:mehrlappig
polymastigate	?:mehrgeißelig
polymath	?:Universalgebildeter
polymaths	?:Universalgebildete
polymer	?:Polymer
polymer-analogous	?:polymeranalog
polymerase	?:Polymerase
polymeric	?:polymer
polymerisation	?:Polymerisation
polymerise	?:polymerisieren
polymerised	?:polymerisiert
polymerises	?:polymerisiert
polymerising	?:polymerisierend
polymerization	?:Polymerisation
polymerize	?:polymerisieren
polymerized	?:polymerisiert
polymerizes	?:polymerisiert
polymerizing	?:polymerisierend
polymers	?:Polymere
polymetamorphic	?:polymetamorph
polymetamorphism	?:Polymetamorphose
polymeter	?:Polymeter
polymeters	?:Polymeter
polymicrobial	?:polymikrobisch
polymicrobic	?:polymikrobisch
polymict	?:polymikt
polymorphic	?:vielgestaltig
polymorphism	?:Vielgestaltigkeit
polymorphocellular	?:aus verschieden geformten Zellen bestehend
polymorphocyte	?:Polymorphozyt
polymorphous	?:vielgestaltig
polymorphy	?:Vielgestaltigkeit
polynesia	?:Polynesien
polynesian	?:Polynesien
polynesians	?:Polynesier
polyneural	?:mehrnervig
polyneuric	?:mehrnervig
polyneuritis	?:Polyneuritis
polynomial	?:Polynom
polynomials	?:Polynome
polynuclear	?:mehrkernig
polynucleate	?:mehrkernig
polyorchid	?:mehrhodig
polyose	?:Hemizellulose
polyoxybiontic	?:mit hohem Sauerstoffbedarf
polyoxymethylene	?:Polyoxymethylen
