hip	adj:hip
blast	v:plural imperative
sony	n:Sony
temporal	adj:temporal
mild	adj:mild
absolut	adj:absolute|adv:absolutely
abstrakt	adj:abstract
administrativ	adj:administrative
farbe	n:colour
tun	n:doing, deeds, behaviour|v:To make a difference
dicker	n:fat man|adj:strong genitive plural
laden	n:shop|v:to load
-an	?:-ane
-al	?:pertaining to
-ar	?:-ary
-oid	?:-oid
-in	?:-yne
sku	n:sport club union
toll	adj:great
wert	n:value|adj:worth
loyal	adj:loyal
lingual	adj:tongue
heck	n:stern
saale	n:Saale
maler	n:agent noun of malen
emmentaler	n:Emmentaler|adj:of Emmental
tim	n:a male given name
malle	n:short for Mallorca|adj:mad
schwert	n:sword
groß	adj:big
alps	n:genitive singular of Alp
mix	n:mix
fetter	adj:strong genitive plural
schmuck	n:jewelry|adj:pretty
no	n:northeast
-ose	?:-osis
nasal	n:nasal|adj:nasal
as-dur	n:A-flat major
es-dur	n:E-flat major
redundant	adj:redundant
spannungsbogen	n:dramatic arc
hera	n:Hera
heuschrecke	n:An orthopteran
löwe	n:lion
-en	?:a suffix (in fact
moskito	n:mosquito
mücke	n:mosquito
hirschkäfer	n:stag beetle
-graph	?:-graph
lag	n:latency
indonesien	n:Indonesia
missgunst	n:jealousy
beenden	v:to finish
gehen	n:going|v:to be going
fahren	v:to go at speed
hornburg	n:Hornburg
wild	n:game|adj:wild
hall	n:echo
inferior	adj:subordinate
firm	adj:experienced
lateral	n:lateral|adj:lateral
rage	n:fury|v:singular imperative
rural	adj:rural
existent	adj:existent
circa	adv:circa
elegant	n:dandy|adj:elegant
verachten	v:to despise
verabscheuen	v:to abhor
krieg	n:war|v:to get
gollum	n:Gollum
morpheus	n:Morpheus
alex	n:a male given name
ur	n:ISO 3166-2:CH code of Uri|adv:very
vietnamesisch	n:Vietnamese|adj:of Vietnam
europa	n:Europe
sättigen	v:to satisfy
kehle	n:throat
gefühl	n:feeling
blind	adj:blind
jo	n:the Gospel of John|?:yes
indifferent	adj:indifferent
walter	n:a male given name
willkommen	n:welcome|adj:welcome|?:welcome
orthogonal	adj:orthogonal
newcastle	n:Newcastle
jawohl	?:yes
heidi	n:a female given name
stet	adj:steady
impertinent	adj:insolent
babel	n:Babel
bade	n:dative singular of Bad|v:singular imperative
baldur	n:a male given name
basal	adj:basal
berate	v:singular imperative
bibber	v:singular imperative
bunt	adj:spotted
bunter	adj:strong genitive plural
cache	n:cache|v:singular imperative
batik	n:batik
dimer	n:dimer|adj:dimeric
distal	adj:distal
duff	adj:dull
dun	adj:drunk
fetal	adj:fetal
gilt	v:singular imperative
holt	v:plural imperative
lobe	v:singular imperative
luge	v:singular imperative
medial	adj:medial
mir	?:me, to me
muff	n:stench
oft	adv:often
renal	adj:renal
sage	n:saga|v:singular imperative
sinter	n:sinter|v:singular imperative
spitz	n:spitz|adj:pointed
tat	n:deed
zig	n:umpteen
inter	adj:intersex
valid	adj:valid
besiege	v:singular imperative
bland	adj:bland
deck	n:deck
dominant	adj:dominant
eminent	adj:eminent
extra	adj:extra, special, additional|adv:specifically
fader	adj:strong genitive plural
fake	n:fake|adj:fake
