woordenboek	n:dictionary
borstelt	v:plural imperative
braad	v:imperative
breiden	v:plural past indicative
breide	v:singular past indicative
brei	v:imperative
broedt	v:plural imperative
broedde	v:singular past indicative
bromt	v:plural imperative
brulde	v:singular past indicative
brult	v:plural imperative
brul	v:imperative
bulder	v:imperative
bungelde	v:singular past indicative
bungelt	v:plural imperative
knellen	v:to pinch
dimensionaal	adj:dimensional
plezant	adj:pleasant
plezierig	adj:pleasant
tegenstand	n:opposition
winkelpassage	n:an arcade
onvoorzichtig	adj:careless
wantrouwde	v:singular past indicative
wantrouw	v:imperative
wantrouwt	v:plural imperative
knel	v:imperative
camoufleert	v:plural imperative
capituleerde	v:singular past indicative
capituleert	v:plural imperative
centraliseert	v:plural imperative
chanteerde	v:singular past indicative
chanteert	v:plural imperative
cirkelde	v:singular past indicative
cirkelden	v:plural past indicative
citeerden	v:plural past indicative
citeerde	v:singular past indicative
citeert	v:plural imperative
citeer	v:imperative
codeer	v:imperative
combineert	v:plural imperative
combineerde	v:singular past indicative
combineer	v:imperative
combineerden	v:plural past indicative
communiceer	v:imperative
communiceerde	v:singular past indicative
communiceert	v:plural imperative
communiceerden	v:plural past indicative
compenseer	v:imperative
compenseert	v:plural imperative
compenseerde	v:singular past indicative
concentreer	v:imperative
concentreerde	v:singular past indicative
concentreert	v:plural imperative
concentreerden	v:plural past indicative
concludeer	v:imperative
concludeert	v:plural imperative
concludeerde	v:singular past indicative
gecondoleerd	?:condolences
confronteerde	v:singular past indicative
confronteer	v:imperative
confronteert	v:plural imperative
conserveert	v:plural imperative
constateerde	v:singular past indicative
constateer	v:imperative
constateert	v:plural imperative
consumeert	v:plural imperative
controleerde	v:singular past indicative
controleerden	v:plural past indicative
controleert	v:plural imperative
correspondeerde	v:singular past indicative
correspondeert	v:plural imperative
corrigeert	v:plural imperative
corrigeerde	v:singular past indicative
corrigeer	v:imperative
creëert	v:plural imperative
creëer	v:imperative
creëerde	v:singular past indicative
creëerden	v:plural past indicative
culmineert	v:plural imperative
culmineerde	v:singular past indicative
cirkelt	v:plural imperative
codeert	v:plural imperative
concludeerden	v:plural past indicative
controleer	v:imperative
constateerden	v:plural past indicative
daagt	v:plural imperative
daag	v:imperative|?:bye
daagde	v:singular past indicative
daagden	v:plural past indicative
daalt	v:plural imperative
daalden	v:plural past indicative
dartel	v:imperative|adj:frisky
dartelt	v:plural imperative
dateerde	v:singular past indicative
debatteerde	v:singular past indicative
debatteer	v:imperative
debatteert	v:plural imperative
definieert	v:plural imperative
definieerde	v:singular past indicative
definieer	v:imperative
demonstreer	v:imperative
demonstreerden	v:plural past indicative
demonstreert	v:plural imperative
deserteerde	v:singular past indicative
deugde	v:singular past indicative
deugt	v:plural imperative
dineerde	v:singular past indicative
dineer	v:imperative
dineert	v:plural imperative
dirigeerde	v:singular past indicative
dirigeert	v:plural imperative
discrimineerde	v:singular past indicative
discrimineert	v:plural imperative
discrimineer	v:imperative
dobbel	v:imperative
documenteert	v:plural imperative
documenteerde	v:singular past indicative
doelt	v:plural imperative
doelde	v:singular past indicative
doolt	v:plural imperative
dompelde	v:singular past indicative
dompelt	v:plural imperative
dompel	v:imperative
dondert	v:plural imperative
donderde	v:singular past indicative
doneerden	v:plural past indicative
doneerde	v:singular past indicative
doneer	v:imperative
doneert	v:plural imperative
dooie	adj:plural attributive
dooi	n:thaw|v:imperative
doorboorde	v:singular past indicative
doorboort	v:plural imperative
doorgrond	v:imperative
doofde	v:singular past indicative
dooft	v:plural imperative
doofden	v:plural past indicative
downloadt	v:plural imperative
downloadde	v:singular past indicative
dramt	v:plural imperative
dreigt	v:plural imperative
dreigden	v:plural past indicative
dreigde	v:singular past indicative
dreig	v:imperative
dreunt	v:plural imperative
droomt	v:plural imperative
droomden	v:plural past indicative
droomde	v:singular past indicative
druppelt	v:plural imperative
druppelde	v:singular past indicative
duidden	v:plural past indicative
duidde	v:singular past indicative
duid	v:imperative
duidt	v:plural imperative
duizelt	v:plural imperative
duizel	v:imperative
duwt	v:plural imperative
duwde	v:singular past indicative
duwden	v:plural past indicative
dwaalde	v:singular past indicative
dwaalden	v:plural past indicative
dwaalt	v:plural imperative
dwaal	v:imperative
e-mailde	v:singular past indicative
e-mailden	v:plural past indicative
e-mailt	v:plural imperative
egt	v:plural imperative|adj:real|adv:really
egge	n:skewed
emigreerde	v:singular past indicative
emigreerden	v:plural past indicative
emigreert	v:plural imperative
engageerde	v:singular past indicative
engageert	v:plural imperative
ensceneerde	v:singular past indicative
eerde	n:a hamlet in Ommen|v:singular past indicative
eerden	v:plural past indicative
eert	v:plural imperative
ergerde	v:singular past indicative
ergert	v:plural imperative
erkent	v:plural imperative
erft	v:plural imperative
erfde	v:singular past indicative
erfden	v:plural past indicative
etaleert	v:plural imperative
etaleerde	v:singular past indicative
exposeerde	v:singular past indicative
exposeert	v:plural imperative
fixeer	v:imperative
fixeert	v:plural imperative
fladder	v:imperative
fladdert	v:plural imperative
flikkert	v:plural imperative
flikkerde	v:singular past indicative
fluister	v:imperative
fluistert	v:plural imperative
fluisterden	v:plural past indicative
fluisterde	v:singular past indicative
fonkel	v:imperative
formeert	v:plural imperative
formeerde	v:singular past indicative
formuleert	v:plural imperative
formuleerden	v:plural past indicative
formuleerde	v:singular past indicative
formuleer	v:imperative
fotografeerden	v:plural past indicative
fotografeerde	v:singular past indicative
fotografeert	v:plural imperative
fotografeer	v:imperative
fraudeert	v:plural imperative
frituur	n:deep-fried food|v:imperative
frustreert	v:plural imperative
frustreerde	v:singular past indicative
functioneer	v:imperative
functioneerde	v:singular past indicative
functioneert	v:plural imperative
functioneerden	v:plural past indicative
fungeerde	v:singular past indicative
fungeerden	v:plural past indicative
fungeert	v:plural imperative
fuseert	v:plural imperative
fuseerde	v:singular past indicative
fuseerden	v:plural past indicative
galmt	v:plural imperative
galm	n:echo|v:imperative
garandeer	v:imperative
garandeerde	v:singular past indicative
garandeert	v:plural imperative
gebaart	v:plural imperative
gebaarde	n:gesture|adj:plural attributive
gedoog	v:imperative
gedoogde	v:singular past indicative
gedoogt	v:plural imperative
gehoorzaamde	v:singular past indicative
gehoorzaamden	v:plural past indicative
gehoorzaamt	v:plural imperative
geleidt	v:plural imperative
geliefden	v:plural past indicative
geselt	v:plural imperative
getuig	v:imperative
getuigden	v:plural past indicative
getuigde	v:singular past indicative
geurt	v:plural imperative
gevoelde	v:singular past indicative
gevoelt	v:plural imperative
giechelde	v:singular past indicative
giechel	n:a giggle|v:imperative
giechelt	v:plural imperative
giert	v:plural imperative
gijzelden	v:plural past indicative
gijzel	n:a hostage|v:imperative
gijzelde	v:singular past indicative
gijzelt	v:plural imperative
glansde	v:singular past indicative
glanst	v:plural imperative
gloeit	v:plural imperative
gloeide	v:singular past indicative
gniffel	v:imperative
golfde	v:singular past indicative
golft	v:plural imperative
gonst	v:plural imperative
gonsde	v:singular past indicative
graasden	v:plural past indicative
graast	v:plural imperative
grensde	v:singular past indicative
grijnsde	v:singular past indicative
grijnst	v:plural imperative
groepeert	v:plural imperative
gromde	v:singular past indicative
gromt	v:plural imperative
gunden	v:plural past indicative
gunde	v:singular past indicative
gunt	v:plural imperative
golfen	v:to play golf
hamert	v:plural imperative
hardt	v:plural imperative
heiligt	v:plural imperative
heelde	v:singular past indicative
heelt	v:plural imperative
helde	v:singular past indicative
hengelt	v:plural imperative
herbergt	v:plural imperative
herbergde	v:singular past indicative
herbouwt	v:plural imperative
herbouwde	v:singular past indicative
herbouw	v:imperative
herken	v:imperative
herkenden	v:plural past indicative
herkende	v:singular past indicative
herleidt	v:plural imperative
herleef	v:imperative
herleefde	v:singular past indicative
herleeft	v:plural imperative
hernieuwde	v:singular past indicative
hertrouwde	v:singular past indicative
hertrouwt	v:plural imperative
hijg	v:imperative
hijgt	v:plural imperative
hinderde	v:singular past indicative
hoefde	v:singular past indicative
hoeft	v:plural imperative
hongert	v:plural imperative
huilde	v:singular past indicative
huilt	v:plural imperative
huilden	v:plural past indicative
huiver	n:fear|v:imperative
huivert	v:plural imperative
huisde	v:singular past indicative
huize	n:dative singular of huis
huisden	v:plural past indicative
huist	v:plural imperative
huldigt	v:plural imperative
huldigde	v:singular past indicative
hult	v:plural imperative
hunkerde	v:singular past indicative
hunkert	v:plural imperative
geluidshinder	n:noise pollution
identificeer	v:imperative
identificeerde	v:singular past indicative
identificeerden	v:plural past indicative
identificeert	v:plural imperative
ijle	adj:plural attributive
ijverde	v:singular past indicative
ijver	n:urge|v:imperative
ijvert	v:plural imperative
ijverden	v:plural past indicative
importeert	v:plural imperative
importeer	v:imperative
importeerde	v:singular past indicative
infecteerde	v:singular past indicative
infecteert	v:plural imperative
informeert	v:plural imperative
informeer	v:imperative
informeerden	v:plural past indicative
informeerde	v:singular past indicative
installeerden	v:plural past indicative
installeert	v:plural imperative
installeer	v:imperative
installeerde	v:singular past indicative
interesseerde	v:singular past indicative
interesseert	v:plural imperative
interesseerden	v:plural past indicative
interesseer	v:imperative
intimideert	v:plural imperative
intrigeert	v:plural imperative
intrigeerde	v:singular past indicative
jubelt	v:plural imperative
jubel	v:imperative
kamt	v:plural imperative
kampeert	v:plural imperative
kampeerden	v:plural past indicative
kampeerde	v:singular past indicative
kampeer	v:imperative
kantelt	v:plural imperative
kantelde	v:singular past indicative
kantel	v:imperative
karn	v:imperative
kauwt	v:plural imperative
kauwde	v:singular past indicative
keldert	v:plural imperative
kelderden	v:plural past indicative
kelderde	v:singular past indicative
kersten	v:imperative
kietelt	v:plural imperative
klautert	v:plural imperative
kleedde	v:singular past indicative
kleedt	v:plural imperative
kleineert	v:plural imperative
kleurde	v:singular past indicative
kleurt	v:plural imperative
kleurden	v:plural past indicative
kleef	n:Kleve|v:imperative
kleefde	v:singular past indicative
kleeft	v:plural imperative
knabbelt	v:plural imperative
knabbel	n:a nibble|v:imperative
knaagt	v:plural imperative
knaagde	v:singular past indicative
kneedt	v:plural imperative
knipoogt	v:plural imperative
knipoogde	v:singular past indicative
knipoog	n:wink|v:imperative
koloniseerden	v:plural past indicative
kopieerden	v:plural past indicative
kopieerde	v:singular past indicative
kopieer	v:imperative
kopieert	v:plural imperative
koppelt	v:plural imperative
koppelden	v:plural past indicative
koppelde	v:singular past indicative
kraait	v:plural imperative
kraaide	v:singular past indicative
krabbelde	v:singular past indicative
kreun	v:imperative
kreunde	v:singular past indicative
kreunt	v:plural imperative
kriebelt	v:plural imperative
kromt	v:plural imperative
kronkelt	v:plural imperative
kronkelde	v:singular past indicative
kronkel	n:twisted line or shape|v:imperative
kwelt	v:plural imperative
kwel	n:seep|v:imperative
kwijnde	v:singular past indicative
kwijnt	v:plural imperative
klieven	v:to cut through
lammert	v:plural imperative
legden	v:plural past indicative
lijmt	v:plural imperative
lijnden	n:a hamlet in Overbetuwe|v:plural past indicative
loei	v:imperative
loeit	v:plural imperative
logeert	v:plural imperative
logeer	v:imperative
logeerde	v:singular past indicative
logeerden	v:plural past indicative
loonde	v:singular past indicative
luide	adj:plural attributive
lulde	v:singular past indicative
lult	v:plural imperative
lummel	n:jerk|v:imperative
maait	v:plural imperative
maai	v:imperative
maaide	v:singular past indicative
machtigt	v:plural imperative
machtige	adj:plural attributive
mailt	v:plural imperative
mailde	v:singular past indicative
maalt	v:plural imperative
maalde	v:singular past indicative
manifesteerde	v:singular past indicative
manifesteerden	v:plural past indicative
manifesteert	v:plural imperative
manipuleerde	v:singular past indicative
manipuleert	v:plural imperative
mankeert	v:plural imperative
mankeer	v:imperative
mankeerde	v:singular past indicative
marcheerde	v:singular past indicative
marcheerden	v:plural past indicative
marcheert	v:plural imperative
marcheer	v:imperative
martelt	v:plural imperative
martelde	v:singular past indicative
masseert	v:plural imperative
masseer	v:imperative
masseerde	v:singular past indicative
meenden	v:plural past indicative
meende	v:singular past indicative
mengden	v:plural past indicative
mengt	v:plural imperative
menden	v:plural past indicative
metsel	v:imperative
miauw	v:imperative|?:the sound of a cat
miauwt	v:plural imperative
mijmert	v:plural imperative
mijmer	v:imperative
mishandelt	v:plural imperative
mishandelden	v:plural past indicative
mishandelde	v:singular past indicative
misleid	v:imperative
misleidt	v:plural imperative
misleidde	v:singular past indicative
mompel	v:imperative
monteer	v:imperative
monteerde	v:singular past indicative
monteert	v:plural imperative
moordt	v:plural imperative
moordden	v:plural past indicative
mopperde	v:singular past indicative
moppert	v:plural imperative
muteert	v:plural imperative
naderde	v:singular past indicative
naderden	v:plural past indicative
negeer	v:imperative
negeerden	v:plural past indicative
negeert	v:plural imperative
nestel	n:aiglet|v:imperative
nestelt	v:plural imperative
nestelden	v:plural past indicative
nestelde	v:singular past indicative
niesde	v:singular past indicative
nomineerde	v:singular past indicative
nomineert	v:plural imperative
nomineer	v:imperative
noteerde	v:singular past indicative
noteert	v:plural imperative
noteer	v:imperative
noteerden	v:plural past indicative
nuttige	adj:plural attributive
offerde	v:singular past indicative
offerden	v:plural past indicative
oogt	v:plural imperative
oogde	v:singular past indicative
omarmden	v:plural past indicative
omarmt	v:plural imperative
omarmde	v:singular past indicative
omhels	v:imperative
omhelsde	v:singular past indicative
omhelsden	v:plural past indicative
omhelst	v:plural imperative
omkleed	v:to surround
omklemt	v:plural imperative
ommuurde	v:singular past indicative
omringde	v:singular past indicative
omring	v:imperative
omringden	v:plural past indicative
omzeilde	v:singular past indicative
omzeilt	v:plural imperative
omzeil	v:imperative
omzoomde	v:singular past indicative
onderkende	v:singular past indicative
onderkent	v:plural imperative
ontbeert	v:plural imperative
ontbeerde	v:singular past indicative
ontcijferde	v:singular past indicative
ontcijfert	v:plural imperative
onterfde	v:singular past indicative
ontfermt	v:plural imperative
ontfermde	v:singular past indicative
ontferm	v:imperative
onthoofdde	v:singular past indicative
onthoofd	v:imperative
onthoofdt	v:plural imperative
onthulden	v:plural past indicative
onthult	v:plural imperative
onthul	v:imperative
ontkent	v:plural imperative
ontkenden	v:plural past indicative
ontkende	v:singular past indicative
ontken	v:imperative
ontkleed	v:imperative
ontleed	v:imperative
ontleedt	v:plural imperative
ontleedde	v:singular past indicative
ontmaagd	v:imperative
ontmoedigt	v:plural imperative
ontmoedigde	v:singular past indicative
ontrafelt	v:plural imperative
ontregelde	v:singular past indicative
ontregelt	v:plural imperative
ontroert	v:plural imperative
ontroerde	v:singular past indicative
ontspoort	v:plural imperative
ontspoorde	v:singular past indicative
ontstemde	v:singular past indicative
ontvreemd	v:imperative
onweert	v:plural imperative
oordeelt	v:plural imperative
oordeelden	v:plural past indicative
oordeelde	v:singular past indicative
opbouw	n:structure
openbaarde	v:singular past indicative
openbaart	v:plural imperative
opperde	v:singular past indicative
opper	v:imperative
opperden	v:plural past indicative
oppert	v:plural imperative
opgeruimd	adj:cheerful
optimaliseert	v:plural imperative
overhaal	n:overland boat ramp
overhandigde	v:singular past indicative
overhandigden	v:plural past indicative
overhandigt	v:plural imperative
overhandig	v:imperative
overleeft	v:plural imperative
overgeleverd	adj:handed down
overmeesterde	v:singular past indicative
overmeesterden	v:plural past indicative
overmeestert	v:plural imperative
overstroomde	v:(“to overflow”):
overstroomt	v:(“to flood”):
parkeer	v:imperative
parkeert	v:plural imperative
parkeerden	v:plural past indicative
parkeerde	v:singular past indicative
participeert	v:plural imperative
participeerden	v:plural past indicative
participeerde	v:singular past indicative
passeer	v:imperative
passeerden	v:plural past indicative
passeerde	v:singular past indicative
passeert	v:plural imperative
patrouilleerde	v:singular past indicative
patrouilleerden	v:plural past indicative
peilde	v:singular past indicative
peilt	v:plural imperative
peinst	v:plural imperative
pendelde	v:singular past indicative
perfectioneerde	v:singular past indicative
peest	n:a village in Noordenveld|v:plural imperative
plande	v:singular past indicative
planden	v:plural past indicative
pleister	n:plaster|v:imperative
ploegt	v:plural imperative
plooit	v:plural imperative
poogt	v:plural imperative
poogde	v:singular past indicative
poogden	v:plural past indicative
poog	v:imperative
poseerde	v:singular past indicative
poseerden	v:plural past indicative
poseert	v:plural imperative
prikkel	n:stimulus|v:imperative
prikkelde	v:singular past indicative
prikkelt	v:plural imperative
proefde	v:singular past indicative
projecteert	v:plural imperative
projecteer	v:imperative
projecteerde	v:singular past indicative
pruttelt	v:plural imperative
onplezierig	adj:unpleasant
ramt	v:plural imperative
ramde	v:singular past indicative
rapporteer	v:imperative
rapporteerde	v:singular past indicative
rapporteert	v:plural imperative
rapporteerden	v:plural past indicative
raasde	v:singular past indicative
raast	v:plural imperative
raasden	v:plural past indicative
reageer	v:imperative
reageerden	v:plural past indicative
reageert	v:plural imperative
realiseerden	v:plural past indicative
realiseert	v:plural imperative
realiseerde	v:singular past indicative
realiseer	v:imperative
rechtvaardigt	v:plural imperative
rechtvaardigden	v:plural past indicative
rechtvaardigde	v:singular past indicative
redeneert	v:plural imperative
redeneerde	v:singular past indicative
reduceerde	v:singular past indicative
reduceert	v:plural imperative
reflecteert	v:plural imperative
reflecteerde	v:singular past indicative
regisseerde	v:singular past indicative
regisseert	v:plural imperative
registreerde	v:singular past indicative
registreer	v:imperative
registreerden	v:plural past indicative
registreert	v:plural imperative
reinigt	v:plural imperative
relateert	v:plural imperative
relativeert	v:plural imperative
remde	v:singular past indicative
remt	v:plural imperative
geremd	adj:uptight
repareert	v:plural imperative
repareerde	v:singular past indicative
representeert	v:plural imperative
reserveerden	v:plural past indicative
reserveerde	v:singular past indicative
restaureerde	v:singular past indicative
restaureert	v:plural imperative
resulteerden	v:plural past indicative
resulteerde	v:singular past indicative
resulteert	v:plural imperative
rilt	v:plural imperative
rilde	v:singular past indicative
roddelt	v:plural imperative
roerde	v:singular past indicative
roert	v:plural imperative
rolden	v:plural past indicative
rolde	v:singular past indicative
rooie	n:a redheaded person|adj:plural attributive
roteert	v:plural imperative
rouwde	v:singular past indicative
rouwden	v:plural past indicative
rouwt	v:plural imperative
ruimde	v:singular past indicative
ruimden	v:plural past indicative
ruimt	v:plural imperative
ruïneerde	v:singular past indicative
koloniaal	n:a colonial soldier|adj:colonial
spartaan	n:a Spartan
spartaans	adj:Spartan
hegemonie	n:hegemony
kledij	n:costume
factie	n:faction
kliek	n:clique
grondbezitter	n:landholder
welstand	n:prosperity
verwijfde	v:singular past indicative
eender	adj:same|adv:no matter
scandeert	v:plural imperative
scandeerden	v:plural past indicative
schaad	v:imperative
schaadde	v:singular past indicative
schaadt	v:plural imperative
schakelt	v:plural imperative
schakel	n:shackle|v:imperative
schakelden	v:plural past indicative
schakelde	v:singular past indicative
scheelde	v:singular past indicative
scheelt	v:plural imperative
schelle	n:a neighbourhood of Zwolle
schel	n:bell|v:imperative|adj:shrill
schermt	v:plural imperative
schermde	v:singular past indicative
scheurde	v:singular past indicative
scheurden	v:plural past indicative
scheurt	v:plural imperative
schilt	v:plural imperative
schilden	v:plural past indicative
schilde	v:singular past indicative
schitterde	v:singular past indicative
schitterden	v:plural past indicative
schitter	v:imperative
schittert	v:plural imperative
schitterend	adj:amazing
geschoold	adj:educated
schommelt	v:plural imperative
schommelden	v:plural past indicative
schommelde	v:singular past indicative
schreeuwden	v:plural past indicative
schreeuwde	v:singular past indicative
schreeuwt	v:plural imperative
schrob	v:imperative
schroeft	v:plural imperative
schroefde	v:singular past indicative
schroom	n:hesitation|v:imperative
schudde	v:singular past indicative
schud	v:imperative
schuifelt	v:plural imperative
scannen	v:to scan
schuurt	v:plural imperative
schuurde	v:singular past indicative
schuwde	v:singular past indicative
schuwt	v:plural imperative
serveert	v:plural imperative
serveer	v:imperative
serveerden	v:plural past indicative
serveerde	v:singular past indicative
siddert	v:plural imperative
sierde	v:singular past indicative
sierden	v:plural past indicative
siert	v:plural imperative
signaleerde	v:singular past indicative
signaleer	v:imperative
signaleert	v:plural imperative
situeert	v:plural imperative
situeerde	v:singular past indicative
slenterde	v:singular past indicative
slenter	v:imperative
sleutelt	v:plural imperative
sleutelde	v:singular past indicative
slingert	v:plural imperative
slingerde	v:singular past indicative
sluimer	v:imperative
sluimert	v:plural imperative
smoes	n:excuse|v:imperative
smokkelde	v:singular past indicative
smokkelt	v:plural imperative
smokkelden	v:plural past indicative
snoerde	v:singular past indicative
snoert	v:plural imperative
snuffelde	v:singular past indicative
snuffel	v:imperative
snuffelt	v:plural imperative
sorteert	v:plural imperative
sorteer	v:imperative
sorteerde	v:singular past indicative
spetter	n:a splatter|v:imperative
spettert	v:plural imperative
spijbelde	v:singular past indicative
spijbelt	v:plural imperative
spijbel	v:imperative
spioneerde	v:singular past indicative
spioneert	v:plural imperative
sponsort	v:plural imperative
sponsorde	v:singular past indicative
spreidt	v:plural imperative
spreidde	v:singular past indicative
spreid	v:imperative
sproeit	v:plural imperative
sproei	v:imperative
spuugt	v:plural imperative
spuugde	v:singular past indicative
spuug	n:spit|v:imperative
spuwt	v:plural imperative
spuw	v:imperative
spuwde	v:singular past indicative
stagneert	v:plural imperative
stagneerde	v:singular past indicative
stalt	v:plural imperative
stalde	v:singular past indicative
stamde	v:singular past indicative
stamt	v:plural imperative
stapelden	v:plural past indicative
stapelde	v:singular past indicative
staarde	v:singular past indicative
staar	n:cataracts|v:imperative
staarden	v:plural past indicative
steigert	v:plural imperative
stoelt	v:plural imperative
stofzuig	v:imperative
stofzuigt	v:plural imperative
stoorde	v:singular past indicative
stoorden	v:plural past indicative
stoort	v:plural imperative
straalt	v:plural imperative
straalden	v:plural past indicative
straalde	v:singular past indicative
strandden	v:plural past indicative
strandde	v:singular past indicative
strandt	v:plural imperative
streelde	v:singular past indicative
streelt	v:plural imperative
streef	v:imperative
streefden	v:plural past indicative
streeft	v:plural imperative
streefde	v:singular past indicative
strooiden	v:plural past indicative
strooide	v:singular past indicative
strooit	v:plural imperative
strooi	v:imperative
struikel	v:imperative
struikelden	v:plural past indicative
struikelde	v:singular past indicative
struikelt	v:plural imperative
struin	v:imperative
stuitert	v:plural imperative
stuiter	v:imperative
stuiterde	v:singular past indicative
stuwt	v:plural imperative
stuwde	v:singular past indicative
subsidieert	v:plural imperative
suggereert	v:plural imperative
suggereer	v:imperative
suggereerden	v:plural past indicative
suggereerde	v:singular past indicative
suist	v:plural imperative
telefoneert	v:plural imperative
teel	v:imperative
temt	v:plural imperative
teerde	v:singular past indicative
teert	v:plural imperative
tiert	v:plural imperative
tierde	v:singular past indicative
tippel	v:imperative
toegewijd	adj:dedicated
toonden	v:plural past indicative
tongzoen	n:French kiss|v:imperative
tooit	v:plural imperative
toverden	v:plural past indicative
tovert	v:plural imperative
toverde	v:singular past indicative
tover	n:something enchanting|v:imperative
traceert	v:plural imperative
trainde	v:singular past indicative
trainden	v:plural past indicative
traint	v:plural imperative
transporteert	v:plural imperative
transporteerde	v:singular past indicative
transporteerden	v:plural past indicative
treurt	v:plural imperative
treurde	v:singular past indicative
treur	v:imperative
triomfeerde	v:singular past indicative
triomfeert	v:plural imperative
trommelde	v:singular past indicative
troont	v:plural imperative
trouwe	adj:plural attributive
tuigt	v:plural imperative
tuinier	v:imperative
tuur	v:imperative
twijfelt	v:plural imperative
twijfelden	v:plural past indicative
twijfelde	v:singular past indicative
typeert	v:plural imperative
typeerde	v:singular past indicative
varieerden	v:plural past indicative
varieerde	v:singular past indicative
varieer	v:imperative
veilt	v:plural imperative
velde	n:dative singular of veld|v:singular past indicative
verafschuw	v:imperative
verafschuwt	v:plural imperative
veranker	v:imperative
verankert	v:plural imperative
verankerde	v:singular past indicative
verantwoord	v:imperative
verantwoordt	v:plural imperative
verbasterde	v:singular past indicative
verbaast	v:plural imperative
verbaasden	v:plural past indicative
verbaas	v:imperative
verbaasde	v:singular past indicative
verbijsterd	adj:bewildered
verbijstert	v:plural imperative
verbijsterde	v:singular past indicative
verbitterde	v:singular past indicative
verblijdt	v:plural imperative
verblijd	v:imperative
verbouwden	v:plural past indicative
verbouw	v:imperative
verbouwt	v:plural imperative
verbouwde	v:singular past indicative
verbreedde	v:singular past indicative
verbreed	v:imperative
verbreedt	v:plural imperative
verbrijzelt	v:plural imperative
verbrijzelde	v:singular past indicative
verchroomde	v:singular past indicative
verdien	v:imperative
verdiende	v:singular past indicative
verdienden	v:plural past indicative
verdoezelt	v:plural imperative
verdoofde	v:singular past indicative
verdooft	v:plural imperative
verdrievoudigde	v:singular past indicative
verdubbelt	v:plural imperative
verdubbel	v:imperative
verdubbelden	v:plural past indicative
verdubbelde	v:singular past indicative
verduisterde	v:singular past indicative
verduistert	v:plural imperative
verdunt	v:plural imperative
verdun	v:imperative
verdunde	v:singular past indicative
verdwaalt	v:plural imperative
verdwaalde	v:singular past indicative
verdwaal	v:imperative
verdwaalden	v:plural past indicative
vereenvoudigde	v:singular past indicative
vereenvoudigt	v:plural imperative
vereeuwigde	v:singular past indicative
veerde	v:singular past indicative
veert	v:plural imperative
verfijnde	v:singular past indicative
verfijnt	v:plural imperative
verfilmde	v:singular past indicative
verfilmt	v:plural imperative
verfoeide	v:singular past indicative
verfraaide	v:singular past indicative
vergaderde	v:singular past indicative
vergader	v:imperative
vergadert	v:plural imperative
vergaderden	v:plural past indicative
vergaart	v:plural imperative
vergaarde	v:singular past indicative
vergaarden	v:plural past indicative
vergaar	v:imperative
verg	v:imperative
vergt	v:plural imperative
vergde	v:singular past indicative
vergiftigt	v:plural imperative
vergiftig	v:imperative
vergiftigde	v:singular past indicative
vergooit	v:plural imperative
vergrendelt	v:plural imperative
vergrendelde	v:singular past indicative
vergrendel	v:imperative
verguisd	adj:much maligned
verguisde	v:singular past indicative
verhandelden	v:plural past indicative
verhandelde	v:singular past indicative
verhardt	v:plural imperative
verhard	v:imperative
verheugde	v:singular past indicative
verheug	v:imperative
verheugt	v:plural imperative
verhinderden	v:plural past indicative
verhinderde	v:singular past indicative
verhoort	v:plural imperative
verhoorde	v:singular past indicative
verkent	v:plural imperative
verkenden	v:plural past indicative
verkende	v:singular past indicative
verkeert	v:plural imperative
verkeerde	v:plural attributive|adj:plural attributive
verkeerden	v:plural past indicative
verkleinde	v:singular past indicative
verklein	v:imperative
verkleint	v:plural imperative
verkleurt	v:plural imperative
verkleurde	v:singular past indicative
verkondigden	v:plural past indicative
verkondigde	v:singular past indicative
verkondig	v:imperative
verkondigt	v:plural imperative
verlaagt	v:plural imperative
verlaagde	v:singular past indicative
verlaagden	v:plural past indicative
verlaag	v:imperative
verlangde	v:singular past indicative
verlang	v:imperative
verlangden	v:plural past indicative
verlangt	v:plural imperative
verleng	v:imperative
verlengt	v:plural imperative
verloederde	v:singular past indicative
verloochent	v:plural imperative
verloochen	v:imperative
verloochende	v:singular past indicative
vermengt	v:plural imperative
vermeng	v:imperative
vermengde	v:singular past indicative
vermenigvuldig	v:imperative
vermenigvuldigt	v:plural imperative
vermenigvuldigde	v:singular past indicative
verminderden	v:plural past indicative
vermindert	v:plural imperative
verminderde	v:singular past indicative
verminder	v:imperative
vermoedt	v:plural imperative
vermoedden	v:plural past indicative
vermomde	v:singular past indicative
vermomt	v:plural imperative
vernederde	v:singular past indicative
vernieuw	v:imperative
vernieuwde	v:singular past indicative
vernieuwt	v:plural imperative
vernoemt	v:plural imperative
vernoemde	v:singular past indicative
verontreinigde	v:singular past indicative
verontschuldig	v:imperative
verontschuldigde	v:singular past indicative
verontschuldigt	v:plural imperative
verouderd	adj:obsolete
verouderde	v:plural attributive|adj:plural attributive
verpand	v:imperative
verpandde	v:singular past indicative
verpleeg	v:imperative
verpleegt	v:plural imperative
verpleegde	v:singular past indicative
verscheurt	v:plural imperative
verscheurde	v:singular past indicative
verschilt	v:plural imperative
verschilden	v:plural past indicative
verschilde	v:singular past indicative
verschoont	v:plural imperative
verschoon	v:imperative
versierde	v:singular past indicative
versier	v:imperative
versierden	v:plural past indicative
versimpelde	v:singular past indicative
versleutelde	v:singular past indicative
versmalde	v:singular past indicative
versmalt	v:plural imperative
verstarde	v:singular past indicative
verstel	v:imperative
versteende	v:singular past indicative
verstijfde	v:singular past indicative
