woordenboek	n:dictionary
ledig	v:imperative
rot	n:rot|adj:rotten
eeg	n:rare spelling of eeg
dame	n:lady
elf	n:eleven
tank	n:tank|v:imperative
wand	n:wall
kimono	n:kimono
duo	n:twosome
mot	n:a slap
miljoen	n:a million
bloem	n:flower
muziek	n:music
boek	n:book|v:imperative
honing	n:honey
gamma	n:gamma
coke	n:coke
download	n:download|v:imperative
test	n:test|v:imperative
delta	n:the Greek letter delta
epsilon	n:epsilon
huh	?:huh
london	n:London
stockholm	n:Stockholm
madrid	n:Madrid
munt	n:coin|v:imperative
mint	n:a mint-flavored candy|v:plural imperative|adj:mint
rook	n:smoke|v:imperative
kilometer	n:kilometre
dino	n:a dino
okapi	n:okapi
genus	n:a taxon at this rank
helium	n:helium
orthodontist	n:orthodontist
seconde	n:second
chaos	n:chaos
carbon	n:fibre-reinforced polymer
asterisk	n:asterisk
kappa	n:kappa
respect	n:respect
osso	n:house
appel	n:apple
café	n:café
steen	n:stone
lambda	n:lambda
mu	n:mu
gift	n:donation|adj:poisonous
centimeter	n:centimetre
millimeter	n:millimetre
petroleum	n:petroleum
corrupt	adj:deprave
dag	n:day|?:hello
dam	n:dam|v:imperative
hm	?:hmm
xi	n:xi
dal	n:valley
premier	n:prime minister
nucleus	n:nucleus
decibel	n:decibel
wok	n:wok
echo	n:echo|v:imperative
sonar	n:sonar
milligram	n:milligramme
milliliter	n:milliliter
lithium	n:lithium
beryllium	n:beryllium
neon	n:neon
magnesium	n:magnesium
aluminium	n:aluminium
argon	n:argon
calcium	n:calcium
titanium	n:titanium
vanadium	n:vanadium
gallium	n:gallium
germanium	n:germanium
selenium	n:selenium
krypton	n:krypton
strontium	n:strontium
palladium	n:palladium
cadmium	n:cadmium
xenon	n:xenon
barium	n:barium
neodymium	n:neodymium
lutetium	n:lutetium
osmium	n:osmium
iridium	n:iridium
thallium	n:thallium
polonium	n:polonium
radon	n:radon
radium	n:radium
thorium	n:thorium
uranium	n:uranium
plutonium	n:plutonium
cesium	n:caesium
li	n:li
bus	n:bus|v:imperative
school	n:a school|v:imperative
buggy	n:a baby buggy|adj:Buggy
au	?:ouch!
links	n:the left|adj:left|adv:on the left
na	adj:close|prep:after
si	n:musical note
ar	n:sledge|adj:angry
ga	v:imperative
ge	?:you
pot	n:jar|v:imperative
deuterium	n:deuterium
samoerai	n:samurai
vacuüm	n:a vacuum|adj:empty
croissant	n:croissant
pers	n:a press|v:imperative
attica	n:Attica
vat	n:barrel|v:imperative
pint	n:a glass of beer|v:plural imperative
la	n:drawer
po	n:chamber pot
ra	n:spar
pa	n:pa
es	n:ash|adv:once
foetus	n:fetus
parlement	n:parliament
pis	n:piss|v:imperative
wan	n:winnowing basket|v:imperative
half	adj:half
twee	n:two
drie	n:three
vier	n:four|v:imperative
vijf	n:five
zes	n:six
zeven	n:seven|v:to sift
acht	n:eight|v:imperative
negen	n:nine|v:imperative
tien	n:ten
twaalf	n:twelve
dertien	n:thirteen
veertien	n:fourteen
vijftien	n:fifteen
zestien	n:sixteen
zeventien	n:seventeen
achttien	n:eighteen
negentien	n:nineteen
twintig	n:twenty
info	n:info
informatie	n:information
mus	n:sparrow
gut	?:gee
rho	n:rho
milkshake	n:milkshake
zebrapad	n:a zebra crossing
albert	n:a male given name
orgaan	n:organ
insect	n:insect
pik	n:penis|v:imperative
spade	n:spade|adj:late
lexicon	n:lexicon
tool	n:a tool
omega	n:omega
lief	adj:nice
der	adv:there|?:of the
das	n:A badger|?:nonstandard form of da's
dijle	n:Dyle
schelde	n:The river Scheldt|v:singular past indicative
hallo	?:hello
generator	n:generator
shop	n:shop
intelligent	adj:intelligent
online	adj:online (on|adv:online
dok	n:dock
spectrum	n:spectrum
manifest	n:manifest|adj:manifest
echt	adj:authentic|adv:really
fork	n:a fork
restaurant	n:restaurant
circuit	n:racetrack
lever	n:liver|v:imperative
kloot	n:sphere
kerosine	n:kerosene
lava	n:lava
thanks	?:thanks
halal	adj:allowed
gras	n:grass
pop	n:cocoon|v:imperative
must	n:a must
sacrament	n:sacrament
pure	adj:indefinite plural
evangelist	n:an evangelist
rock	n:rock
grove	adj:plural attributive
crash	n:crash|v:imperative
cash	n:cash|v:imperative|adj:in coins and bills/notes
psycho-	?:psycho-
lunch	n:a lunch|v:imperative
ei	n:egg
kennel	n:kennel
college	n:a collegial board
maximum	n:maximum
minimum	n:minimum
mini	adj:mini
mega	adj:mega
marathon	n:marathon
net	n:net|adj:clean|adv:tidily
navel	n:navel
sloop	n:pillowcase|v:imperative
mast	n:mast
switch	n:switch|v:imperative
daniel	n:a village in Curaçao
