a	?:een
idiotic	?:idioot
idol	?:idool
idolator	?:heiden
idolatry	?:afgoderĳ
idyll	?:idylle
if	?:als
ignition	?:ontsteking
ignore	?:negeren
iguana	?:leguaan
ill	?:naar
illiterate	?:analfabeet
illness	?:ziekte
illuminate	?:verlichten
illusion	?:illusie
illustrate	?:illustreren
illustration	?:illustratie
image	?:afbeelding
imagination	?:verbeelding
imagine	?:zich voorstellen
imitate	?:nadoen
imitation	?:navolging
immaterial	?:lauw
immediate	?:prompt
immediately	?:zo
immense	?:geweldig
immerse	?:soppen
immigrate	?:immigreren
immune	?:immuun
imp	?:kabouter
impale	?:spietsen
impartial	?:neutraal
impatient	?:ongeduldig
impede	?:verstoppen
impediment	?:hindernis
impel	?:opwekken
impenetrable	?:ondoordringbaar
imperialism	?:imperialisme
imperialist	?:imperialist
impertinence	?:brutaliteit
impertinent	?:brutaal
impetus	?:vuur
implicate	?:betrekken
implore	?:afsmeken
imply	?:betekenen
import	?:invoeren
important	?:erg
impose	?:forceren
imposing	?:indrukwekkend
impossible	?:uitgesloten
impossibly	?:onmogelĳk
imposter	?:bedrieger
impotent	?:impotent
impress	?:indruk maken op
impressible	?:vatbaar
impression	?:indruk
impressionism	?:impressionisme
impressionist	?:impressionist
imprint	?:spoor
imprison	?:gevangen zetten
improve	?:verbeteren
impulse	?:impuls
impulsive	?:luchtig
imputation	?:aantĳging
in	?:in
inaccessible	?:ongenaakbaar
inaugural	?:inaugureel
inaugurate	?:onthullen
inauguration	?:inauguratie
inborn	?:aangeboren
inbred	?:aangeboren
incandescent	?:witgloeiend
incarnation	?:incarnatie
incendiary	?:brandstichtend
incense	?:wierook
incensory	?:wierookvat
inception	?:begin
incest	?:incest
inch	?:duim
incidental	?:ver
incinerate	?:verbranden
incite	?:schudden
incitement	?:prikkel
inclination	?:zin
incline	?:buigen
inclined	?:geneigd
include	?:bevatten
including	?:tot en met
inclusive	?:inclusief
inclusively	?:tot en met
income	?:inkomsten
incomplete	?:onvolledig
inconceivable	?:ondoorgrondelĳk
inconsistent	?:inconsequent
inconvenient	?:zwaar
incorrect	?:mis
increase	?:groeien
increasingly	?:steeds meer
incredible	?:ongelofelĳk
incubate	?:koesteren
incubus	?:nachtmerrie
incus	?:gehoorbeentje
indecision	?:besluiteloosheid
indecisive	?:onzeker
indeed	?:wel
indent	?:inspringen
independant	?:zelfstandig
indescribably	?:onbeschrĳflĳk
index	?:tafel
indicate	?:laten zien
indication	?:aanduiding
indicative	?:indicatief
indictment	?:beschuldiging
indifference	?:flegma
indifferent	?:lauw
indigence	?:pauperisme
indigenous	?:autochtoon
indigestion	?:indigestie
indignant	?:verontwaardigd
indispensable	?:onmisbaar
indistinct	?:vaag
indium	?:indium
individual	?:individu
indivisible	?:ondeelbaar
induce	?:besluiten
inducement	?:aanleiding
indulge	?:sparen
indulgence	?:aflaat
industrial	?:industrie‐
industrialist	?:industrieel
industrious	?:naarstig
industry	?:industrie
inebriety	?:roes
inert	?:traag
inexpensive	?:goedkoop
inexperienced	?:groen
inexplicable	?:onverklaarbaar
inexpressibly	?:onuitsprekelĳk
infant	?:kind
infantry	?:infanterie
infect	?:verpesten
infected	?:geïnfecteerd
infection	?:infectie
infectious	?:besmettelĳk
infer	?:besluiten
inference	?:conclusie
inferior	?:minderwaardig
infernal	?:duivels
infertile	?:steriel
infest	?:onveilig maken
infestation	?:plaag
infirm	?:verminkt
inflammation	?:ontsteking
inflammatory	?:opruiend
inflate	?:opblazen
inflated	?:opgeschroefd
inflation	?:inflatie
influence	?:invloed
influenza	?:griep
inform	?:informeren
information	?:informatie
infuse	?:zetten
infusion	?:aftreksel
ingenious	?:geniaal
ingredient	?:component
inhabitant	?:inwoner
inhale	?:ophalen
inherit	?:erven
inheritance	?:erfenis
inhibit	?:verhinderen
initial	?:begin‐
initiate	?:het initiatief nemen tot
inject	?:injecteren
injection	?:injectie
injure	?:beschadigen
injured	?:gewond
injury	?:blessure
ink	?:inkt
inkpot	?:inktpot
inlet	?:fjord
inn	?:logement
innate	?:aangeboren
inner	?:intern
innkeeper	?:waard
innocence	?:onschuld
innocent	?:onschuldig
inoculate	?:enten
inoffensive	?:argeloos
inordinate	?:extreem
inorganic	?:anorganisch
input	?:invoer
inquiry	?:enquête
inquisitive	?:benieuwd
inquisitively	?:nieuwsgierig
insane	?:gek
insanity	?:waanzin
insatiable	?:onlesbaar
inscription	?:inscriptie
insect	?:insekt
insert	?:steken
inside	?:in
insidious	?:arglistig
insignia	?:wapen
insignificant	?:zinloos
insinuate	?:insinueren
insist	?:aandringen
insistence	?:aandrang
inspect	?:inspectie houden
inspection	?:keuring
inspector	?:inspecteur
inspiration	?:inspiratie
inspire	?:inspireren
inspiring	?:bezielend
install	?:installeren
instalment	?:aanbetaling
instant	?:moment
instantly	?:op stel en sprong
instead	?:in plaats daarvan
instigate	?:opwekken
instigator	?:initiatiefnemer
instinct	?:instinct
institute	?:instituut
institution	?:instelling
instruct	?:instrueren
instruction	?:ontwikkeling
instructor	?:leraar
instrument	?:instrument
insubordinate	?:ongehoorzaam
insubstantial	?:licht
insulate	?:isoleren
insulation	?:isolatie
insulator	?:isolator
insult	?:beledigen
insulted	?:beledigd
insulting	?:beledigend
insurance	?:verzekering
insure	?:veilig stellen
insurer	?:verzekeraar
integer	?:heel
integral	?:integraal
intellect	?:geest
intellectual	?:verstandelĳk
intelligence	?:intelligentie
intelligent	?:knap
intelligibility	?:verstaanbaarheid
intend	?:zich voorstellen
intense	?:sterk
intensive	?:sterk
intention	?:doel
intentional	?:bedoeld
inter	?:begraven
intercede	?:voorspreken
intercessor	?:advocaat
